2024-03-31 21:22:12,258 INFO    StreamThr :37490 [internal.py:wandb_internal():86] W&B internal server running at pid: 37490, started at: 2024-03-31 21:22:12.257156
2024-03-31 21:22:12,259 DEBUG   HandlerThread:37490 [handler.py:handle_request():146] handle_request: status
2024-03-31 21:22:12,262 INFO    WriterThread:37490 [datastore.py:open_for_write():87] open: /Users/austinstone/bittersweet/wandb/run-20240331_212212-rrl7h5z7/run-rrl7h5z7.wandb
2024-03-31 21:22:12,263 DEBUG   SenderThread:37490 [sender.py:send():379] send: header
2024-03-31 21:22:12,287 DEBUG   SenderThread:37490 [sender.py:send():379] send: run
2024-03-31 21:22:12,701 INFO    SenderThread:37490 [dir_watcher.py:__init__():211] watching files in: /Users/austinstone/bittersweet/wandb/run-20240331_212212-rrl7h5z7/files
2024-03-31 21:22:12,701 INFO    SenderThread:37490 [sender.py:_start_run_threads():1124] run started: rrl7h5z7 with start time 1711945332.257441
2024-03-31 21:22:12,715 DEBUG   HandlerThread:37490 [handler.py:handle_request():146] handle_request: check_version
2024-03-31 21:22:12,715 DEBUG   SenderThread:37490 [sender.py:send_request():406] send_request: check_version
2024-03-31 21:22:12,839 DEBUG   HandlerThread:37490 [handler.py:handle_request():146] handle_request: run_start
2024-03-31 21:22:12,848 DEBUG   HandlerThread:37490 [system_info.py:__init__():26] System info init
2024-03-31 21:22:12,849 DEBUG   HandlerThread:37490 [system_info.py:__init__():41] System info init done
2024-03-31 21:22:12,849 INFO    HandlerThread:37490 [system_monitor.py:start():194] Starting system monitor
2024-03-31 21:22:12,849 INFO    SystemMonitor:37490 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-31 21:22:12,849 INFO    HandlerThread:37490 [system_monitor.py:probe():214] Collecting system info
2024-03-31 21:22:12,851 INFO    SystemMonitor:37490 [interfaces.py:start():190] Started cpu monitoring
2024-03-31 21:22:12,851 DEBUG   HandlerThread:37490 [system_info.py:probe():150] Probing system
2024-03-31 21:22:12,851 INFO    SystemMonitor:37490 [interfaces.py:start():190] Started disk monitoring
2024-03-31 21:22:12,857 INFO    SystemMonitor:37490 [interfaces.py:start():190] Started gpuapple monitoring
2024-03-31 21:22:12,858 INFO    SystemMonitor:37490 [interfaces.py:start():190] Started memory monitoring
2024-03-31 21:22:12,859 INFO    SystemMonitor:37490 [interfaces.py:start():190] Started network monitoring
2024-03-31 21:22:12,865 DEBUG   HandlerThread:37490 [system_info.py:_probe_git():135] Probing git
2024-03-31 21:22:12,892 DEBUG   HandlerThread:37490 [system_info.py:_probe_git():143] Probing git done
2024-03-31 21:22:12,892 DEBUG   HandlerThread:37490 [system_info.py:probe():198] Probing system done
2024-03-31 21:22:12,892 DEBUG   HandlerThread:37490 [system_monitor.py:probe():223] {'os': 'macOS-14.2.1-arm64-arm-64bit', 'python': '3.9.6', 'heartbeatAt': '2024-04-01T04:22:12.851976', 'startedAt': '2024-04-01T04:22:12.248813', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/Users/austinstone/bittersweet/train.py', 'codePathLocal': 'train.py', 'codePath': 'train.py', 'git': {'remote': 'git@github.com:AustinCStone/bittersweet.git', 'commit': 'fa9047663a1c1cd6e84fc8f7c9a7cecdbc6be1c6'}, 'email': 'austinstone@utexas.edu', 'root': '/Users/austinstone/bittersweet', 'host': 'Austins-MacBook-Air.local', 'username': 'austinstone', 'executable': '/Library/Developer/CommandLineTools/usr/bin/python3', 'cpu_count': 8, 'cpu_count_logical': 8, 'cpu_freq': {'current': 3204, 'min': 600, 'max': 3204}, 'cpu_freq_per_core': [{'current': 3204, 'min': 600, 'max': 3204}], 'disk': {'/': {'total': 460.4317207336426, 'used': 9.42599868774414}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 16.0}}
2024-03-31 21:22:12,892 INFO    HandlerThread:37490 [system_monitor.py:probe():224] Finished collecting system info
2024-03-31 21:22:12,892 INFO    HandlerThread:37490 [system_monitor.py:probe():227] Publishing system info
2024-03-31 21:22:12,893 INFO    HandlerThread:37490 [system_monitor.py:probe():229] Finished publishing system info
2024-03-31 21:22:12,895 DEBUG   SenderThread:37490 [sender.py:send():379] send: files
